country_code,state_code,region,city,Political_Region
USA,CA,Los Angeles,Westlake Village,USA - West
USA,MA,Boston,Burlington,USA - Northeast
IDN,4,Jakarta,Jakarta,Southeast Asia
USA,CA,SF Bay Area,San Francisco,USA - West
USA,TX,Dallas,Dallas,USA - South
CHN,23,Shanghai,Shanghai,East Asia
USA,CA,Los Angeles,Santa Monica,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CO,Denver,Broomfield,USA - West
USA,IN,South Bend,Lowell,USA - Midwest
USA,MA,Boston,Dedham,USA - Northeast
BEL,1,Antwerp,Antwerp,Western Europe
USA,VA,Richmond,Sandston,USA - South
CHN,8,Chongqing,Chongqing,East Asia
Unknown,Unknown,Unknown,Unknown,Unknown
MEX,9,Mexico City,Mexico City,Latin America
IRL,7,Dublin,Dublin,Western Europe
ESP,56,Barcelona,Barcelona,Southern Europe
GBR,H9,London,London,Western Europe
RUS,48,Moscow,Moscow,Eastern Europe
USA,CO,Denver,Denver,USA - West
CHN,22,Beijing,Beijing,East Asia
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,San Francisco,USA - West
USA,NJ,Newark,Whippany,USA - Northeast
DNK,18,DNK - Other,Ikast,Northern Europe
FRA,A8,Paris,Paris,Western Europe
USA,MD,Baltimore,Glen Burnie,USA - South
USA,IL,Chicago,Chicago,USA - Midwest
USA,CA,SF Bay Area,Palo Alto,USA - West
USA,MA,Boston,Boston,USA - Northeast
CHN,23,Shanghai,Shanghai,East Asia
USA,CA,SF Bay Area,San Francisco,USA - West
USA,IN,IN - Other,Lafayette,USA - Midwest
USA,CT,Hartford,West Hartford,USA - Northeast
USA,PA,Philadelphia,Oaks,USA - Northeast
ITA,7,Rome,Rome,Southern Europe
USA,FL,Ft. Lauderdale,Pompano Beach,USA - South
ITA,5,Modena,Modena,Southern Europe
AUS,2,Sydney,Sydney,Oceania
USA,NY,New York City,New York,USA - Northeast
USA,PA,Pittsburgh,Pittsburgh,USA - Northeast
GBR,H9,London,London,Western Europe
USA,NY,New York City,New York,USA - Northeast
USA,PA,Philadelphia,Philadelphia,USA - Northeast
BEL,11,Brussels,Brussels,Western Europe
USA,CA,SF Bay Area,Pleasanton,USA - West
IND,16,Mumbai,Mumbai,South Asia
USA,MA,Boston,Boston,USA - Northeast
CAN,ON,Calgary,Calgary,North America
USA,CA,SF Bay Area,San Bruno,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
IRL,7,Dublin,Dublin,Western Europe
USA,NY,New York City,New York,USA - Northeast
USA,GA,Atlanta,Smyrna,USA - South
ITA,12,Turin,Torino,Southern Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CT,Hartford,Stamford,USA - Northeast
USA,WA,Seattle,Seattle,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,San Diego,San Diego,USA - West
GRC,13,ThessalonÃ­ki,Thessaloníki,Southern Europe
USA,CO,Fort Collins,Fort Collins,USA - West
CHE,25,Zurich,Winterthur Töss,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
GBR,K2,London,Witney,Western Europe
USA,PA,Philadelphia,Doylestown,USA - Northeast
USA,PA,Pittsburgh,Monroeville,USA - Northeast
USA,VA,"Washington, D.C.",Reston,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NJ,Newark,West Orange,USA - Northeast
USA,NV,Las Vegas,Las Vegas,USA - West
USA,NY,New York City,New York,USA - Northeast
USA,WA,Seattle,Seattle,USA - West
ROM,10,Bucharest,Bucharest,Eastern Europe
Unknown,Unknown,Unknown,Unknown,Unknown
AUS,2,Sydney,Sydney,Oceania
FRA,A8,Paris,Paris,Western Europe
USA,OR,Eugene,Bend,USA - West
USA,MI,Detroit,Ann Arbor,USA - Midwest
USA,OH,Akron - Canton,Stow,USA - Midwest
USA,CA,Los Angeles,Calabasas,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
USA,MD,"Washington, D.C.",Rockville,USA - South
FRA,B8,FRA - Other,La Ciotat,Western Europe
GBR,H9,London,London,Western Europe
AUS,7,Melbourne,South Melbourne,Oceania
USA,VA,"Washington, D.C.",Ashburn,USA - South
USA,CA,Los Angeles,Culver City,USA - West
USA,CA,Los Angeles,Woodland Hills,USA - West
USA,NV,Las Vegas,Henderson,USA - West
DEU,2,Garching Bei Munchen,Garching Bei München,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NY,New York City,New York,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
USA,MN,Minneapolis,Waconia,USA - Midwest
MEX,9,Mexico City,Mexico City,Latin America
USA,CA,Los Angeles,Torrance,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NC,Raleigh,Durham,USA - South
USA,CA,San Diego,Carlsbad,USA - West
KOR,11,Seoul,Seoul,East Asia
USA,NY,New York City,New York,USA - Northeast
USA,CA,SF Bay Area,Foster City,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,San Francisco,USA - West
USA,CA,SF Bay Area,San Francisco,USA - West
USA,CA,SF Bay Area,Palo Alto,USA - West
USA,WA,Seattle,Seattle,USA - West
CHN,22,Beijing,Beijing,East Asia
SWE,27,Malmo,Lund,Northern Europe
USA,TX,Dallas,Richardson,USA - South
IND,7,New Delhi,New Delhi,South Asia
USA,MD,"Washington, D.C.",Rockville,USA - South
USA,MN,Minneapolis,Minneapolis,USA - Midwest
BRA,27,BRA - Other,Buenos Aires,Latin America
USA,CA,Anaheim,Huntington Beach,USA - West
USA,NY,New York City,New York,USA - Northeast
USA,MD,"Washington, D.C.",College Park,USA - South
USA,WA,Seattle,Seattle,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CO,Denver,Boulder,USA - West
USA,CO,Denver,Boulder,USA - West
USA,TX,Houston,Houston,USA - South
USA,CT,Hartford,Hartford,USA - Northeast
IND,10,Haryana,Haryana,South Asia
TUR,17,Ã‡an,Çan,Middle East
Unknown,Unknown,Unknown,Unknown,Unknown
SGP,Unknown,Singapore,Singapore,Southeast Asia
USA,IA,Des Moines,Des Moines,USA - Midwest
USA,TX,Austin,Austin,USA - South
USA,CA,SF Bay Area,Redwood City,USA - West
USA,WI,Milwaukee,Milwaukee,USA - Midwest
GBR,L9,Sheffield,Sheffield,Western Europe
USA,NM,Albuquerque,Albuquerque,USA - West
GBR,B7,Bristol,Bristol,Western Europe
DEU,2,Munich,München,Western Europe
DEU,2,Munich,Munich,Western Europe
USA,MA,Boston,Cambridge,USA - Northeast
USA,CA,SF Bay Area,San Francisco,USA - West
USA,VA,Richmond,Richmond,USA - South
USA,CA,SF Bay Area,San Francisco,USA - West
USA,NY,New York City,New York,USA - Northeast
USA,CA,SF Bay Area,Saratoga,USA - West
USA,NV,Reno - Sparks,Reno,USA - West
USA,MO,St. Louis,St Louis,USA - Midwest
USA,GA,Atlanta,Marietta,USA - South
CAN,BC,Burnaby,Burnaby,North America
GBR,H9,London,London,Western Europe
FRA,A8,Paris,Paris,Western Europe
FRA,A8,Paris,Boulogne-billancourt,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
RUS,Unknown,Unknown,Unknown,Eastern Europe
RUS,48,Moscow,Moscow,Eastern Europe
SWE,21,Stockholm,Uppsala,Northern Europe
USA,CA,SF Bay Area,Oakland,USA - West
USA,TX,Dallas,Allen,USA - South
ITA,7,Rome,Roma,Southern Europe
AUS,7,Melbourne,Melbourne,Oceania
USA,CA,SF Bay Area,Redwood City,USA - West
USA,MA,Boston,Maynard,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
IRL,7,Dublin,Dublin,Western Europe
USA,FL,Jacksonville,Jacksonville Beach,USA - South
RUS,48,Moscow,Moscow,Eastern Europe
USA,CA,SF Bay Area,Menlo Park,USA - West
GBR,F7,Unknown,Unknown,Western Europe
FRA,B8,Nice,Valbonne,Western Europe
USA,NY,New York City,New York,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
FRA,A8,Paris,Paris,Western Europe
USA,MA,Boston,Boxborough,USA - Northeast
CHN,Unknown,Unknown,Unknown,East Asia
USA,MI,Detroit,Detroit,USA - Midwest
USA,NC,Raleigh,Raleigh,USA - South
USA,NY,New York City,New York,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
USA,VT,Montpelier,Burlington,USA - Northeast
CHN,25,Shandong,Qingdao Shi,East Asia
USA,CA,SF Bay Area,San Francisco,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
SAU,14,Jeddah,Jeddah,Middle East
USA,ME,"Portland, Maine",Kennebunk,USA - Northeast
USA,CA,SF Bay Area,Berkeley,USA - West
USA,NY,New York City,Brooklyn,USA - Northeast
CHL,12,Santiago,Santiago,South America
USA,PA,Philadelphia,Wayne,USA - Northeast
USA,NH,"Manchester, New Hampshire",Milford,USA - Northeast
USA,MA,Boston,Waltham,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
GRC,35,Athens,Athens,Southern Europe
AUS,7,Melbourne,Melbourne,Oceania
USA,CA,Ontario - Inland Empire,Ontario,USA - West
CAN,NS,Halifax,Halifax,North America
USA,WA,Seattle,Seattle,USA - West
USA,MA,Boston,Charlestown,USA - Northeast
USA,CA,SF Bay Area,San Francisco,USA - West
USA,CO,Denver,Denver,USA - West
USA,NY,New York City,New York,USA - Northeast
IRL,7,Dublin,Dublin,Western Europe
IRL,10,Galway,Galway,Western Europe
USA,CA,SF Bay Area,San Francisco,USA - West
JPN,18,JPN - Other,China,East Asia
USA,OR,"Portland, Oregon",Beaverton,USA - West
USA,MA,Boston,Andover,USA - Northeast
USA,CO,Denver,Westminster,USA - West
FRA,C1,Strasbourg,Strasbourg,Western Europe
USA,MD,Baltimore,Baltimore,USA - South
USA,OH,"Columbus, Ohio",Dublin,USA - Midwest
DEU,2,Munich,Munich,Western Europe
USA,CA,Anaheim,Irvine,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
CHE,23,Ecublens,Ecublens,Western Europe
USA,CA,Anaheim,Garden Grove,USA - West
USA,MA,Boston,Cambridge,USA - Northeast
GBR,C3,London,Cambridge,Western Europe
GBR,H9,London,London,Western Europe
USA,VT,VT - Other,Pittsfield,USA - Northeast
USA,MO,MO - Other,Saint James,USA - Midwest
USA,VA,Alexandria,Alexandria,USA - South
USA,CA,SF Bay Area,San Francisco,USA - West
USA,NY,New York City,New York,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
ITA,16,Pisa,Pisa,Southern Europe
CAN,BC,Vancouver,Vancouver,North America
Unknown,Unknown,Unknown,Unknown,Unknown
USA,OH,Cincinnati,Cincinnati,USA - Midwest
RUS,48,Moscow,Moscow,Eastern Europe
ITA,Unknown,Unknown,Unknown,Southern Europe
USA,NC,Winston-Salem,Winston Salem,USA - South
USA,SC,"Charleston, South Carolina",Charleston,USA - South
IND,25,Chennai,Chennai,South Asia
CHN,23,Shanghai,Shanghai,East Asia
KOR,11,Seoul,Seoul,East Asia
Unknown,Unknown,Unknown,Unknown,Unknown
DEU,6,DEU - Other,Wedel,Western Europe
USA,MA,Boston,Waltham,USA - Northeast
DNK,17,Copenhagen,Copenhagen,Northern Europe
USA,CA,San Diego,San Diego,USA - West
MYS,14,Kuala Lumpur,Kuala Lumpur,Southeast Asia
Unknown,Unknown,Unknown,Unknown,Unknown
USA,MA,Boston,Boston,USA - Northeast
USA,MA,Boston,Woburn,USA - Northeast
USA,NY,New York City,New York,USA - Northeast
NGA,5,Lagos,Ikeja,West Africa
USA,CA,SF Bay Area,San Jose,USA - West
USA,WA,Seattle,Seattle,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
CHE,4,Basel,Basel,Western Europe
CHE,20,Lugano,Lugano,Western Europe
USA,TN,Nashville,Brentwood,USA - South
FRA,A6,Unknown,Unknown,Western Europe
USA,CA,SF Bay Area,San Francisco,USA - West
USA,CA,SF Bay Area,Mountain View,USA - West
IDN,4,Dki Jakarta,Dki Jakarta,Southeast Asia
USA,WA,Seattle,Seattle,USA - West
USA,CA,SF Bay Area,Palo Alto,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,San Francisco,USA - West
USA,NY,Long Island,Hauppauge,USA - Northeast
USA,NC,Raleigh,Creedmoor,USA - South
USA,CA,SF Bay Area,San Francisco,USA - West
USA,MO,Kansas City,Kansas City,USA - Midwest
USA,MA,Boston,Boston,USA - Northeast
USA,CA,SF Bay Area,San Francisco,USA - West
USA,MA,Boston,Cambridge,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
Unknown,Unknown,Unknown,Unknown,Unknown
USA,MD,"Washington, D.C.",Rockville,USA - South
USA,CA,SF Bay Area,Los Altos Hills,USA - West
USA,IL,IL - Other,Quincy,USA - Midwest
USA,NY,New York City,New York,USA - Northeast
CHN,30,Guangzhou,Guangzhou,East Asia
Unknown,Unknown,Unknown,Unknown,Unknown
QAT,1,Doha,Doha,Middle East
CHN,22,Beijing,Beijing,East Asia
CAN,ON,Kanata,Kanata,North America
CAN,ON,Toronto,Toronto,North America
USA,VA,Alexandria,Alexandria,USA - South
ARG,7,Buenos Aires,Buenos Aires,South America
GBR,H9,London,London,Western Europe
AUS,5,Adelaide,Adelaide,Oceania
IRL,7,Dublin,Dublin,Western Europe
USA,WA,Seattle,Renton,USA - West
USA,CA,"Orange County, California",Long Beach,USA - West
USA,CA,Los Angeles,Woodland Hills,USA - West
USA,FL,Palm Beaches,Palm Beach Gardens,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
GBR,H9,London,London,Western Europe
GBR,H9,London,London,Western Europe
ESP,51,Almeria,Almería,Southern Europe
LBN,4,Beirut,Beirut,Middle East
USA,TN,Knoxville,Knoxville,USA - South
USA,CT,Hartford,Wallingford,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,San Francisco,USA - West
USA,CA,Los Angeles,Los Angeles,USA - West
USA,NJ,Newark,Clifton,USA - Northeast
CHN,22,Beijing,Beijing,East Asia
Unknown,Unknown,Unknown,Unknown,Unknown
USA,CA,SF Bay Area,Berkeley,USA - West
USA,OH,Cleveland,Cleveland,USA - Midwest
USA,NY,"Albany, New York",Saratoga Springs,USA - Northeast
KOR,11,Seoul,Seoul,East Asia
USA,CA,Ontario - Inland Empire,Chino,USA - West
USA,NY,New York City,New York,USA - Northeast
USA,CA,SF Bay Area,San Francisco,USA - West
USA,NY,New York City,New York,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
GBR,I7,Newcastle,Newcastle Upon Tyne,Western Europe
USA,CA,SF Bay Area,San Jose,USA - West
USA,CA,SF Bay Area,Sunnyvale,USA - West
DNK,17,Copenhagen,Copenhagen,Northern Europe
AUS,2,Sydney,Surry Hills,Oceania
USA,CA,San Diego,San Diego,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
USA,NV,Reno - Sparks,Reno,USA - West
USA,CA,Los Angeles,Santa Monica,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
VNM,Unknown,Ho Chi Minh,Ho Chi Minh City,Southeast Asia
USA,MA,Boston,Cambridge,USA - Northeast
USA,NY,New York City,New York,USA - Northeast
USA,VA,"Washington, D.C.",Reston,USA - South
USA,VA,"Washington, D.C.",Fairfax,USA - South
Unknown,Unknown,Unknown,Unknown,Unknown
USA,VA,Alexandria,Alexandria,USA - South
ESP,56,Barcelona,Barcelona,Southern Europe
USA,CA,SF Bay Area,Palo Alto,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
GBR,H9,London,London,Western Europe
USA,FL,Palm Beaches,Boca Raton,USA - South
FRA,A8,Paris,Courbevoie,Western Europe
USA,IL,Chicago,Glen Ellyn,USA - Midwest
USA,LA,"Lafayette, Louisiana",Lafayette,USA - South
USA,FL,Miami,Miami,USA - South
USA,NY,New York City,New York,USA - Northeast
USA,MA,Boston,Boston,USA - Northeast
USA,MA,Boston,North Billerica,USA - Northeast
USA,CA,SF Bay Area,San Mateo,USA - West
USA,CO,Denver,Westminster,USA - West
USA,KS,Kansas City,Overland Park,USA - Midwest
USA,MD,Baltimore,Baltimore,USA - South
GBR,H9,London,London,Western Europe
USA,CA,SF Bay Area,Santa Clara,USA - West
USA,CA,Anaheim,Irvine,USA - West
CHN,22,Beijing,Beijing,East Asia
USA,CA,SF Bay Area,San Francisco,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
CAN,ON,Toronto,Toronto,North America
ESP,29,Madrid,Madrid,Southern Europe
USA,NY,New York City,New York,USA - Northeast
BGR,42,Sofia,Sofia,Western Europe
USA,DE,"Wilmington, Delaware",Wilmington,USA - South
USA,CA,SF Bay Area,San Francisco,USA - West
GBR,N7,London,Guildford,Western Europe
CAN,ON,Toronto,Toronto,North America
ESP,27,ESP - Other,Leiva,Southern Europe
USA,FL,Miami,Miami,USA - South
NLD,7,Amsterdam,Amsterdam,Western Europe
CHN,Unknown,Unknown,Unknown,East Asia
USA,NY,New York City,New York,USA - Northeast
USA,NY,New York City,New York,USA - Northeast
GBR,U8,Edinburgh,Edinburgh,Western Europe
USA,TX,Houston,League City,USA - South
USA,CA,SF Bay Area,San Francisco,USA - West
USA,IL,Chicago,Chicago,USA - Midwest
GBR,I2,Manchester,Manchester,Western Europe
Unknown,Unknown,Unknown,Unknown,Unknown
USA,TX,Dallas,Plano,USA - South
USA,MD,"Washington, D.C.",Lanham,USA - South
USA,CA,SF Bay Area,Santa Clara,USA - West
USA,TX,Austin,Austin,USA - South
USA,CA,SF Bay Area,San Francisco,USA - West
CHN,22,Beijing,Beijing,East Asia
ARE,3,Dubai,Dubai,Middle East
TWN,3,Taiwan,Taipei,East Asia
GBR,H9,London,London,Western Europe
CAN,ON,Toronto,Richmond Hill,North America
Unknown,Unknown,Unknown,Unknown,Unknown
USA,MA,Boston,Gloucester,USA - Northeast
USA,CA,SF Bay Area,Santa Clara,USA - West
USA,MO,St. Louis,St Louis,USA - Midwest
Unknown,Unknown,Unknown,Unknown,Unknown
USA,OH,"Columbus, Ohio",Westerville,USA - Midwest
USA,NY,New York City,New York,USA - Northeast
Unknown,Unknown,Unknown,Unknown,Unknown
CAN,BC,Vancouver,Vancouver,North America
Unknown,Unknown,Unknown,Unknown,Unknown
USA,IL,Chicago,Chicago,USA - Midwest
USA,CA,San Diego,San Diego,USA - West
USA,CA,Los Angeles,Santa Monica,USA - West
USA,NJ,NJ - Other,Camden,USA - Northeast
USA,FL,Pensacola,Valparaiso,USA - South
USA,NY,New York City,New York,USA - Northeast
USA,CA,Anaheim,Newport Beach,USA - West
CHN,23,Shanghai,Shanghai,East Asia
USA,UT,Salt Lake City,Ogden,USA - West
USA,CA,Los Angeles,Santa Monica,USA - West
Unknown,Unknown,Unknown,Unknown,Unknown
RUS,48,Moscow,Moscow,Eastern Europe
USA,TN,Chattanooga,Chattanooga,USA - South
AUS,4,West End,West End,Oceania
USA,MA,Boston,Waltham,USA - Northeast
USA,MO,Kansas City,Kansas City,USA - Midwest
USA,NJ,Newark,Princeton,USA - Northeast
USA,CA,SF Bay Area,Redwood City,USA - West
USA,IL,Chicago,Chicago,USA - Midwest
GBR,H9,London,London,Western Europe
USA,AR,AR - Other,Springdale,USA - South
GHA,8,GHA - Other,Tema,West Africa
IND,19,Bangalore,Bangalore,South Asia
USA,CA,SF Bay Area,Menlo Park,USA - West
SWE,26,Stockholm,Stockholm,Northern Europe
USA,MA,Boston,Boston,USA - Northeast
CAN,BC,Vancouver,Vancouver,North America
USA,CA,Los Angeles,Los Angeles,USA - West
USA,NE,Omaha,Omaha,USA - Midwest
USA,TX,Austin,Austin,USA - South
